,name,link
114,Feng Shui | Holistic Spaces Podcast with Anjie Cho,https://itunes.apple.com/us/podcast/feng-shui-holistic-spaces-podcast-with-anjie-cho/id1033215047?mt=2
115,UX Coffee 设计咖,https://itunes.apple.com/us/podcast/ux-coffee-%E8%AE%BE%E8%AE%A1%E5%92%96/id1099551615?mt=2
116,The Poster Boys,https://itunes.apple.com/us/podcast/the-poster-boys/id952408535?mt=2
117,Simplexity of Design,https://itunes.apple.com/us/podcast/simplexity-of-design/id200320850?mt=2
118,MegaMaker,https://itunes.apple.com/us/podcast/megamaker/id1074661788?mt=2
119,Paper Wishes Weekly Webisodes,https://itunes.apple.com/us/podcast/paper-wishes-weekly-webisodes/id295107682?mt=2
120,Overshare by Working Not Working,https://itunes.apple.com/us/podcast/overshare-by-working-not-working/id1144144769?mt=2
121,BlacksmitHER Radio,https://itunes.apple.com/us/podcast/blacksmither-radio/id925021233?mt=2
122,Mof1 Podcast,https://itunes.apple.com/us/podcast/mof1-podcast/id1074500173?mt=2
123,GSAPP Conversations,https://itunes.apple.com/us/podcast/gsapp-conversations/id1214156714?mt=2
124,WordPress Tips | Learn how to Create Awesome Websites using WordPress and Divi,https://itunes.apple.com/us/podcast/wordpress-tips-learn-how-to-create-awesome-websites/id384300932?mt=2
125,Adaptive Path Podcast,https://itunes.apple.com/us/podcast/adaptive-path-podcast/id284362028?mt=2
126,Hustle,https://itunes.apple.com/us/podcast/hustle/id732167775?mt=2
127,Working Without Pants - For Agency Owners & Consultants,https://itunes.apple.com/us/podcast/working-without-pants-for-agency-owners-consultants/id911706842?mt=2
128,Design The Life You Love with Ayse Birsel,https://itunes.apple.com/us/podcast/design-the-life-you-love-with-ayse-birsel/id1256615402?mt=2
129,WP Innovator - WordPress podcast for designers,https://itunes.apple.com/us/podcast/wp-innovator-wordpress-podcast-for-designers/id1062941538?mt=2
130,Urban Design Group Presentations,https://itunes.apple.com/us/podcast/urban-design-group-presentations/id286142436?mt=2
131,The UX Workshop.tv,https://itunes.apple.com/us/podcast/the-ux-workshop-tv/id327878448?mt=2
132,The Young Architect Podcast,https://itunes.apple.com/us/podcast/the-young-architect-podcast/id1208256622?mt=2
133,YDN Design Guide,https://itunes.apple.com/us/podcast/ydn-design-guide/id179235218?mt=2
134,Geek A Week,https://itunes.apple.com/us/podcast/geek-a-week/id363782650?mt=2
135,"10,000 HOURS",https://itunes.apple.com/us/podcast/10-000-hours/id808235697?mt=2
136,Our Style Stories,https://itunes.apple.com/us/podcast/our-style-stories/id668432386?mt=2
137,design mind On Air,https://itunes.apple.com/us/podcast/design-mind-on-air/id333678750?mt=2
138,HOW Design Live Podcast,https://itunes.apple.com/us/podcast/how-design-live-podcast/id1013011839?mt=2
139,Roots of Design,https://itunes.apple.com/us/podcast/roots-of-design/id967648499?mt=2
140,Canadian Centre for Architecture / Centre Canadien d'Architecture,https://itunes.apple.com/us/podcast/canadian-centre-for-architecture-centre-canadien-darchitecture/id269869174?mt=2
141,Nonnie's Quilting Dreams,https://itunes.apple.com/us/podcast/nonnies-quilting-dreams/id411254623?mt=2
142,Well Made,https://itunes.apple.com/us/podcast/well-made/id1110562334?mt=2
143,Heinrich Schmidt * Video,https://itunes.apple.com/us/podcast/heinrich-schmidt-video/id80284830?mt=2
144,YDN Design Guide HD,https://itunes.apple.com/us/podcast/ydn-design-guide-hd/id278170913?mt=2
145,소설 속 역사 이야기,https://itunes.apple.com/us/podcast/%EC%86%8C%EC%84%A4-%EC%86%8D-%EC%97%AD%EC%82%AC-%EC%9D%B4%EC%95%BC%EA%B8%B0/id1205355159?mt=2
146,Photoshop Creative Podcasts,https://itunes.apple.com/us/podcast/photoshop-creative-podcasts/id302178830?mt=2
147,Botanical Brouhaha Podcast,https://itunes.apple.com/us/podcast/botanical-brouhaha-podcast/id1262838966?mt=2
148,Advanced Photoshop,https://itunes.apple.com/us/podcast/advanced-photoshop/id323866410?mt=2
149,Home Style Green,https://itunes.apple.com/us/podcast/home-style-green/id513213105?mt=2
150,Motion Sickness Podcast,https://itunes.apple.com/us/podcast/motion-sickness-podcast/id1119004562?mt=2
151,Meet the Creatives,https://itunes.apple.com/us/podcast/meet-the-creatives/id1252503888?mt=2
152,Podcasts – Go Media™ · Creativity at work!,https://itunes.apple.com/us/podcast/podcasts-go-media-creativity-at-work/id561456109?mt=2
153,Read Between the Leading,https://itunes.apple.com/us/podcast/read-between-the-leading/id305234826?mt=2
154,FZD Design Cinema Podcast,https://itunes.apple.com/us/podcast/fzd-design-cinema-podcast/id1074717445?mt=2
155,The Knife Making Podcast,https://itunes.apple.com/us/podcast/the-knife-making-podcast/id1082065677?mt=2
156,From Design Into Print,https://itunes.apple.com/us/podcast/from-design-into-print/id312223358?mt=2
157,On Margins,https://itunes.apple.com/us/podcast/on-margins/id1236390557?mt=2
158,Thoroughly Considered,https://itunes.apple.com/us/podcast/thoroughly-considered/id1041995154?mt=2
159,Make/Time,https://itunes.apple.com/us/podcast/make-time/id1141030195?mt=2
160,True North,https://itunes.apple.com/us/podcast/true-north/id1106185198?mt=2
161,Euromaxx: Leben und Kultur in Europa,https://itunes.apple.com/us/podcast/euromaxx-leben-und-kultur-in-europa/id325813988?mt=2
162,Makers of Sport Podcast,https://itunes.apple.com/us/podcast/makers-of-sport-podcast/id853828088?mt=2
163,The Skirted Roundtable,https://itunes.apple.com/us/podcast/the-skirted-roundtable/id315047897?mt=2
164,Rookie Designer Podcast,https://itunes.apple.com/us/podcast/rookie-designer-podcast/id498992366?mt=2
165,Stuff Designers Do | Design Fundamentals for Everyone,https://itunes.apple.com/us/podcast/stuff-designers-do-design-fundamentals-for-everyone/id389782411?mt=2
166,Say Something Worth Stealing,https://itunes.apple.com/us/podcast/say-something-worth-stealing/id963890041?mt=2
167,Logo Geek,https://itunes.apple.com/us/podcast/logo-geek/id762790918?mt=2
168,Art and Soul Radio with Lesley Riley,https://itunes.apple.com/us/podcast/art-and-soul-radio-with-lesley-riley/id340996908?mt=2
169,The It's Nice That Podcast,https://itunes.apple.com/us/podcast/the-its-nice-that-podcast/id1177397468?mt=2
170,Anyway.FM × 设计杂谈,https://itunes.apple.com/us/podcast/anyway-fm-%E8%AE%BE%E8%AE%A1%E6%9D%82%E8%B0%88/id1053786200?mt=2
171,Results May Vary Podcast Podcast: Design Thinking for Living,https://itunes.apple.com/us/podcast/results-may-vary-podcast-podcast-design-thinking-for/id1000266741?mt=2
172,UX Café,https://itunes.apple.com/us/podcast/ux-caf%C3%A9/id374362662?mt=2
173,Giant Thinkers Podcast,https://itunes.apple.com/us/podcast/giant-thinkers-podcast/id1001095170?mt=2
174,Fjord Fika,https://itunes.apple.com/us/podcast/fjord-fika/id1188221550?mt=2
175,Jake's Rolex Watch Blog,https://itunes.apple.com/us/podcast/jakes-rolex-watch-blog/id287427779?mt=2
176,EngineerVsDesigner – SolidSmack,https://itunes.apple.com/us/podcast/engineervsdesigner-solidsmack/id454034646?mt=2
177,Archinect Sessions One-to-One,https://itunes.apple.com/us/podcast/archinect-sessions-one-to-one/id1057340260?mt=2
178,US Modernist Radio - Architecture You Love,https://itunes.apple.com/us/podcast/us-modernist-radio-architecture-you-love/id986108444?mt=2
179,DN FM,https://itunes.apple.com/us/podcast/dn-fm/id1139346989?mt=2
180,The Crafter's Box Podcast,https://itunes.apple.com/us/podcast/the-crafters-box-podcast/id1066569149?mt=2
181,"Shabby & Chic: Interior Decorating, Hostessing, & Lifestyle Tips for Millennial Homemakers",https://itunes.apple.com/us/podcast/shabby-chic-interior-decorating-hostessing-lifestyle/id1188043651?mt=2
182,字谈字畅,https://itunes.apple.com/us/podcast/%E5%AD%97%E8%B0%88%E5%AD%97%E7%95%85/id1041704528?mt=2
183,Art Cafe,https://itunes.apple.com/us/podcast/art-cafe/id1031708318?mt=2
184,The History Quilter Podcast,https://itunes.apple.com/us/podcast/the-history-quilter-podcast/id415572591?mt=2
185,Universal Everything / Forever / Feed,https://itunes.apple.com/us/podcast/universal-everything-forever-feed/id299050404?mt=2
186,Design Table,https://itunes.apple.com/us/podcast/design-table/id1218633352?mt=2
187,RPG Design PanelCast,https://itunes.apple.com/us/podcast/rpg-design-panelcast/id580012396?mt=2
188,Luthier on Luthier with Michael Bashkin,https://itunes.apple.com/us/podcast/luthier-on-luthier-with-michael-bashkin/id1208172851?mt=2
189,"실전 건축 팟캐스트, 집구석",https://itunes.apple.com/us/podcast/%EC%8B%A4%EC%A0%84-%EA%B1%B4%EC%B6%95-%ED%8C%9F%EC%BA%90%EC%8A%A4%ED%8A%B8-%EC%A7%91%EA%B5%AC%EC%84%9D/id942850996?mt=2
190,Euromaxx: Lifestyle Europe,https://itunes.apple.com/us/podcast/euromaxx-lifestyle-europe/id325815563?mt=2
191,Tentative,https://itunes.apple.com/us/podcast/tentative/id978483997?mt=2
192,Paperclipping Newsbreak,https://itunes.apple.com/us/podcast/paperclipping-newsbreak/id317213087?mt=2
193,Creative Honey,https://itunes.apple.com/us/podcast/creative-honey/id1023960653?mt=2
194,Life and Limb,https://itunes.apple.com/us/podcast/life-and-limb/id784292063?mt=2
195,Design & Other Fun Stuff,https://itunes.apple.com/us/podcast/design-other-fun-stuff/id413686328?mt=2
196,Design Story,https://itunes.apple.com/us/podcast/design-story/id1177159166?mt=2
197,The SnakesCast,https://itunes.apple.com/us/podcast/the-snakescast/id626848298?mt=2
198,Through Process,https://itunes.apple.com/us/podcast/through-process/id805185408?mt=2
199,Design Pods:  Great Design should be seen AND heard!,https://itunes.apple.com/us/podcast/design-pods-great-design-should-be-seen-and-heard/id1204069781?mt=2
200,National Building Museum Audio,https://itunes.apple.com/us/podcast/national-building-museum-audio/id385989112?mt=2
